Epoch: 77/20000, Action: (5, 2), Score: -2002, Tetrominoes 20, Cleared lines: 0, Loss: 1363.801025390625
Epoch: 78/20000, Action: (7, 0), Score: -1732, Tetrominoes 26, Cleared lines: 0, Loss: 1300.83837890625
Epoch: 79/20000, Action: (5, 3), Score: -1452, Tetrominoes 32, Cleared lines: 0, Loss: 1621.6435546875
Epoch: 80/20000, Action: (8, 1), Score: -1662, Tetrominoes 27, Cleared lines: 0, Loss: 854.2916259765625
Epoch: 81/20000, Action: (11, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1293.1622314453125
Epoch: 82/20000, Action: (12, 0), Score: -1492, Tetrominoes 31, Cleared lines: 0, Loss: 1362.72900390625
Epoch: 83/20000, Action: (5, 1), Score: -1572, Tetrominoes 29, Cleared lines: 0, Loss: 1347.8408203125
Epoch: 84/20000, Action: (9, 3), Score: -1912, Tetrominoes 22, Cleared lines: 0, Loss: 1239.166259765625
Epoch: 85/20000, Action: (4, 0), Score: -2022, Tetrominoes 20, Cleared lines: 0, Loss: 1444.178955078125
Epoch: 86/20000, Action: (5, 2), Score: -2102, Tetrominoes 18, Cleared lines: 0, Loss: 1529.7427978515625
Epoch: 87/20000, Action: (2, 1), Score: -1802, Tetrominoes 24, Cleared lines: 0, Loss: 1795.2303466796875
Epoch: 88/20000, Action: (2, 0), Score: -1412, Tetrominoes 32, Cleared lines: 0, Loss: 1942.5751953125
Epoch: 89/20000, Action: (4, 0), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 1578.6317138671875
Epoch: 90/20000, Action: (4, 0), Score: -1732, Tetrominoes 26, Cleared lines: 0, Loss: 1813.483154296875
Epoch: 91/20000, Action: (2, 3), Score: -2112, Tetrominoes 18, Cleared lines: 0, Loss: 1790.496826171875
Epoch: 92/20000, Action: (4, 0), Score: -2232, Tetrominoes 16, Cleared lines: 0, Loss: 1422.421875
Epoch: 93/20000, Action: (9, 0), Score: -2202, Tetrominoes 16, Cleared lines: 0, Loss: 1926.742919921875
Epoch: 94/20000, Action: (10, 3), Score: -1682, Tetrominoes 27, Cleared lines: 0, Loss: 1798.54931640625
Epoch: 95/20000, Action: (0, 0), Score: -1712, Tetrominoes 26, Cleared lines: 0, Loss: 1539.772705078125
Epoch: 96/20000, Action: (7, 0), Score: -1422, Tetrominoes 32, Cleared lines: 0, Loss: 1393.9290771484375
Epoch: 97/20000, Action: (6, 1), Score: -1332, Tetrominoes 34, Cleared lines: 0, Loss: 1599.1829833984375
Epoch: 98/20000, Action: (9, 1), Score: -2022, Tetrominoes 20, Cleared lines: 0, Loss: 1279.5611572265625
Epoch: 99/20000, Action: (12, 0), Score: -1412, Tetrominoes 32, Cleared lines: 0, Loss: 1959.981201171875
Epoch: 100/20000, Action: (1, 0), Score: -1862, Tetrominoes 23, Cleared lines: 0, Loss: 2016.264404296875
Epoch: 101/20000, Action: (4, 3), Score: -1742, Tetrominoes 26, Cleared lines: 0, Loss: 1591.13916015625
Epoch: 102/20000, Action: (6, 1), Score: -1552, Tetrominoes 29, Cleared lines: 0, Loss: 1398.4267578125
Epoch: 103/20000, Action: (6, 1), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 1748.0428466796875
Epoch: 104/20000, Action: (8, 0), Score: -1862, Tetrominoes 23, Cleared lines: 0, Loss: 1642.2742919921875
Epoch: 105/20000, Action: (4, 1), Score: -1622, Tetrominoes 28, Cleared lines: 0, Loss: 1606.7811279296875
Epoch: 106/20000, Action: (5, 3), Score: -1772, Tetrominoes 25, Cleared lines: 0, Loss: 1666.1788330078125
Epoch: 107/20000, Action: (7, 0), Score: -1852, Tetrominoes 23, Cleared lines: 0, Loss: 1801.0906982421875
Epoch: 108/20000, Action: (6, 1), Score: -1672, Tetrominoes 26, Cleared lines: 0, Loss: 1699.0369873046875
Epoch: 109/20000, Action: (7, 1), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1610.6798095703125
Epoch: 110/20000, Action: (4, 0), Score: -1522, Tetrominoes 30, Cleared lines: 0, Loss: 1348.305908203125
Epoch: 111/20000, Action: (11, 0), Score: -1622, Tetrominoes 28, Cleared lines: 0, Loss: 1128.3023681640625
Epoch: 112/20000, Action: (1, 3), Score: -2022, Tetrominoes 20, Cleared lines: 0, Loss: 1365.9627685546875
Epoch: 113/20000, Action: (2, 1), Score: -1882, Tetrominoes 23, Cleared lines: 0, Loss: 1150.08544921875
Epoch: 114/20000, Action: (7, 1), Score: -1672, Tetrominoes 27, Cleared lines: 0, Loss: 1283.18603515625
Epoch: 115/20000, Action: (3, 1), Score: -1892, Tetrominoes 23, Cleared lines: 0, Loss: 1634.82763671875
Epoch: 116/20000, Action: (13, 0), Score: -1802, Tetrominoes 25, Cleared lines: 0, Loss: 1338.81005859375
Epoch: 117/20000, Action: (1, 0), Score: -1552, Tetrominoes 29, Cleared lines: 0, Loss: 1556.16650390625
Epoch: 118/20000, Action: (3, 1), Score: -1752, Tetrominoes 26, Cleared lines: 0, Loss: 1377.245361328125
Epoch: 119/20000, Action: (6, 1), Score: -1852, Tetrominoes 23, Cleared lines: 0, Loss: 1559.4566650390625
Epoch: 120/20000, Action: (10, 0), Score: -1732, Tetrominoes 26, Cleared lines: 0, Loss: 1400.450439453125
Epoch: 121/20000, Action: (11, 3), Score: -2132, Tetrominoes 18, Cleared lines: 0, Loss: 1304.7940673828125
Epoch: 122/20000, Action: (4, 0), Score: -1892, Tetrominoes 22, Cleared lines: 0, Loss: 1128.6964111328125
Epoch: 123/20000, Action: (5, 0), Score: -1672, Tetrominoes 27, Cleared lines: 0, Loss: 1369.529541015625
Epoch: 124/20000, Action: (7, 0), Score: -1712, Tetrominoes 26, Cleared lines: 0, Loss: 1225.831787109375
Epoch: 125/20000, Action: (2, 1), Score: -1662, Tetrominoes 28, Cleared lines: 0, Loss: 1139.0904541015625
Epoch: 126/20000, Action: (0, 0), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1580.0543212890625
Epoch: 127/20000, Action: (3, 0), Score: -2052, Tetrominoes 19, Cleared lines: 0, Loss: 1331.6663818359375
Epoch: 128/20000, Action: (6, 2), Score: -2352, Tetrominoes 13, Cleared lines: 0, Loss: 1325.223388671875
Epoch: 129/20000, Action: (4, 1), Score: -1772, Tetrominoes 25, Cleared lines: 0, Loss: 1028.2344970703125
Epoch: 130/20000, Action: (10, 0), Score: -1642, Tetrominoes 28, Cleared lines: 0, Loss: 1018.3821411132812
Epoch: 131/20000, Action: (4, 1), Score: -1532, Tetrominoes 29, Cleared lines: 0, Loss: 946.4285278320312
Epoch: 132/20000, Action: (6, 2), Score: -1452, Tetrominoes 31, Cleared lines: 0, Loss: 1189.2401123046875
Epoch: 133/20000, Action: (8, 0), Score: -1742, Tetrominoes 25, Cleared lines: 0, Loss: 1796.837158203125
Epoch: 134/20000, Action: (12, 1), Score: -1802, Tetrominoes 24, Cleared lines: 0, Loss: 1158.024658203125
Epoch: 135/20000, Action: (10, 2), Score: -1482, Tetrominoes 31, Cleared lines: 0, Loss: 1063.6724853515625
Epoch: 136/20000, Action: (1, 0), Score: -1712, Tetrominoes 26, Cleared lines: 0, Loss: 1424.520751953125
Epoch: 137/20000, Action: (7, 1), Score: -1582, Tetrominoes 29, Cleared lines: 0, Loss: 1334.34130859375
Epoch: 138/20000, Action: (13, 3), Score: -1622, Tetrominoes 28, Cleared lines: 0, Loss: 1405.8739013671875
Epoch: 139/20000, Action: (1, 3), Score: -1982, Tetrominoes 21, Cleared lines: 0, Loss: 1627.3062744140625
Epoch: 140/20000, Action: (9, 0), Score: -1402, Tetrominoes 32, Cleared lines: 0, Loss: 1783.4859619140625
Epoch: 141/20000, Action: (3, 0), Score: -1862, Tetrominoes 23, Cleared lines: 0, Loss: 1633.5985107421875
